tracks/artist,tracks/album,tracks/track,tracks/uri,albums/artist,albums/album,albums/uri,artists/name,artists/uri,other
Travis Scott,Rodeo (Expanded Edition),Apple Pie,spotify:track:6scpNkWEmUxmKY7nYjVLsX,J. Cole,KOD,spotify:album:4Wv5UAieM1LDEYVq5WmqDd,88GLAM,spotify:artist:2I9SLklAOG0vdMiUUMNxRl,spotify:local:::A+man:192
Big Sean,I Decided.,Bigger Than Me,spotify:track:6zpXc7WJ3TqYWb02B6sKyF,DJ Khaled,I'm the One,spotify:album:7mRliFLzSnVPzjO0sSy3ar,A Boogie Wit da Hoodie,spotify:artist:31W5EY0aAly4Qieq6OFu6I,spotify:local:::Shells+X+Hollaback+Girl+%2B+Silly+Watch:277
Kanye West,My Beautiful Dark Twisted Fantasy,Monster,spotify:track:1ZHYJ2Wwgxes4m8Ba88PeK,Tiny Meat Gang,Bangers & Ass,spotify:album:0jsQT4x7VfwZAWeDjQ7eRX,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,spotify:local:::Shells+X+Hollaback+Girl:78
Lil Tjay,Laneswitch,Laneswitch,spotify:track:56Sng0NtW0YYy4Edtpybm8,Post Malone,beerbongs & bentleys,spotify:album:6trNtQUgC8cgbWcqoMYkOR,Gunna,spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ,spotify:local:::A+Man+-Travis:181
G-Eazy,Still Be Friends (feat. Tory Lanez & Tyga),Still Be Friends (feat. Tory Lanez & Tyga),spotify:track:0JjM9bKm4wrwohMslcm892,Remi Wolf,Photo ID (with Dominic Fike),spotify:album:3zFq7EuaSEF96fFaMCUE8w,J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,spotify:local:::Houdini+-+Travis+%26+Carti:125
Jay Critch,Hood Favorite,Quicker (feat. Offset),spotify:track:2suNLhuM7H4QWpWAekOnG3,The Weeknd,After Hours,spotify:album:4yP0hdKOZPNshxUOjY0cZj,Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,spotify:local:::Molly+-+Carti:159
DaBaby,KIRK,BOP,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,Young Thug,JEFFERY,spotify:album:7EpUpNUkkEGnaCvkcn1j4H,Lil Skies,spotify:artist:7d3WFRME3vBY2cgoP38RDo,spotify:local:::Tattoo+-+Carti:269
Dreamville,1-888-88-DREAM,"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",spotify:track:4eqrNsKy9Mvg1fvfsTVIAE,Metro Boomin,NOT ALL HEROES WEAR CAPES,spotify:album:1zNr37qd3iZJ899byrTkcj,Lil Tecca,spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo,
Rae Sremmurd,SremmLife 2,Black Beatles,spotify:track:6fujklziTHa8uoM5OQSfIo,Kendrick Lamar,DAMN.,spotify:album:4eLPsYPBmXABThSJ821sqY,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,
Dro Kenji,EAT YOUR HEART OUT,KILL CUPID,spotify:track:5p29DSBwxS4hStGKr7NCCO,NAV,Know Me,spotify:album:0ooNnSXqH1oTsHo34RO75q,NAV,spotify:artist:7rkW85dBwwrJtlHRDkJDAC,
Doe Boy,LOW KEY (feat. Lil Uzi Vert),LOW KEY (feat. Lil Uzi Vert),spotify:track:1fPYeNbEnfXwCX3bmLpIW2,The Weeknd,Starboy,spotify:album:2ODvWsOgouMbaA5xf0RkJe,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,
Young Thug,JEFFERY,"Guwop (feat. Quavo, Offset and Young Scooter)",spotify:track:1BSA5I386L2IAmFQURYjIz,J. Cole,4 Your Eyez Only,spotify:album:3CCnGldVQ90c26aFATC1PW,Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,
Drake,Views,One Dance,spotify:track:12VWzyPDBCc8fqeWCAfNwR,NAV,RECKLESS,spotify:album:1hTrdWpdPEeXHQWc9GmpxZ,,,
Calvin Harris,Over Now (with The Weeknd),Over Now (with The Weeknd),spotify:track:58AGoOGbwsQMhBbH0eFLRR,Huncho Jack,"Huncho Jack, Jack Huncho",spotify:album:6FED8aeieEnUWwQqAO9zT1,,,
Bankrol Hayden,Pain is Temporary,Drop A Tear (feat. Lil Baby),spotify:track:1b5bD9RZ2KFv34O9Dn5NNr,Travis Scott,Birds In The Trap Sing McKnight,spotify:album:42WVQWuf1teDysXiOupIZt,,,
Lil Baby,Drip Harder,Underdog (Lil Baby & Gunna),spotify:track:2Am26UXisQ91vBLYdqd7Pa,Pi’erre Bourne,The Life Of Pi'erre 4,spotify:album:0agALBMd2a8cnpbpukTg03,,,
Childish Gambino,Redbone,Redbone,spotify:track:1AlcpxsgzYwAJ1SfMPPWU4,Travis Scott,ASTROWORLD,spotify:album:41GuZcammIkupMPKH2OJ6I,,,
Only The Family,Only The Family - Lil Durk Presents: Loyal Bros,Hellcats & Trackhawks,spotify:track:53tv6ZbyeAwfAUwFaxYbfO,Post Malone,Stoney,spotify:album:5s0rmjP8XOPhP6HhqOhuyC,,,
Metro Boomin,NOT ALL HEROES WEAR CAPES,Borrowed Love (feat. Swae Lee & WizKid),spotify:track:0McI9sOmkpfd4E72njtU0G,Lil Uzi Vert,Eternal Atake,spotify:album:7IyoGB8J31fvQDwGtHAq9m,,,
A Boogie Wit da Hoodie,TBA,Ransom,spotify:track:14RRHdmfjGPhuWBhkl4Ne4,The Weeknd,"My Dear Melancholy,",spotify:album:3N88bRVAwQrtKqSV0UgU69,,,
Jaden,Summer,Summer,spotify:track:39jo333JejX9EZ3zwwcdmS,YBN Nahmir,Opp Stoppa (feat. 21 Savage),spotify:album:6mBVdi3OYfVGmMiT4jXkYz,,,
MadeinTYO,Ned Flanders (feat. A$AP Ferg),Ned Flanders (feat. A$AP Ferg),spotify:track:6f5i916F3jU6BhOOD7iGqf,JACKBOYS,JACKBOYS,spotify:album:1Sf8GsXG32t0jNrX11xqWx,,,
sadeyes,jaded,jaded,spotify:track:10nN52KLg3jR5ykohilhYN,Travis Scott,Rodeo (Expanded Edition),spotify:album:4PWBTB6NYSKQwfo79I3prg,,,
Pradababy,Tied Up,Tied Up,spotify:track:6ZUhxaiaxDz6pKBoZzYcr7,J. Cole,everybody dies,spotify:album:3yKUGrz2tsHP31gqPBhLXx,,,
Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,Moon Relate,spotify:track:4sWGHlZGM1XA7TyWdtBAbA,NAV,Bad Habits,spotify:album:31lHUoHC3P6BRFzKYLyRJO,,,
Lil Baby,The Bigger Picture,The Bigger Picture,spotify:track:44gRhRi2OhEf7moAUj6MD1,,,,,,
Tay-K,#SantanaWorld,The Race,spotify:track:5RCfvwDewu6p2x1mEI6smX,,,,,,
Stunna 4 Vegas,UP THE SMOKE (with Offset),UP THE SMOKE (with Offset),spotify:track:09TZsMHXEtQkdmMJZPLKup,,,,,,
Travis Scott,Rodeo (Expanded Edition),Antidote,spotify:track:1wHZx0LgzFHyeIZkUydNXq,,,,,,
DaBaby,BLAME IT ON BABY,ROCKSTAR (feat. Roddy Ricch),spotify:track:7ytR5pFWmSjzHJIeQkgog4,,,,,,
Gunna,WUNNA,RELENTLESS (feat. Lil Uzi Vert),spotify:track:6nDSLDomNqfet6w0r1GHAz,,,,,,
Trippie Redd,A Love Letter To You 4,Hate Me,spotify:track:0ggZlpnclTYDZta0zPGwFv,,,,,,
Polo G,First Place,First Place,spotify:track:5rSVQzJQ5nMUcFJDkJMfzL,,,,,,
88GLAM,88GLAM2,Purple Baguettes,spotify:track:6Vzs6iGlyb4JTnVX5NAoFk,,,,,,
Lil Uzi Vert,Luv Is Rage 2,Dark Queen,spotify:track:2ZdCrBA52bb4pIG3tOOZiQ,,,,,,
Internet Money,JETSKI (feat. Lil Mosey & Lil Tecca),JETSKI (feat. Lil Mosey & Lil Tecca),spotify:track:2vl0D1b0M6UHlD1Fjh5j1m,,,,,,
Juice WRLD,Goodbye & Good Riddance,Lean Wit Me,spotify:track:29tc0GbW0pTSBZSCZF3NWk,,,,,,
A Boogie Wit da Hoodie,Hoodie SZN,Startender (feat. Offset and Tyga),spotify:track:0jAfdqv18goRTUxm3ilRjb,,,,,,
Metro Boomin,NOT ALL HEROES WEAR CAPES,"Only You (feat. WizKid, Offset & J Balvin)",spotify:track:0KPiSFlz5OUCgw7nwvhYWe,,,,,,
YoungBoy Never Broke Again,Top,Kacey Talk,spotify:track:1SF8piqsZWn86DajVKih8F,,,,,,
J.I the Prince of N.Y,Hood Life Krisis Vol. 3 EP,R&B Shit (feat. A Boogie Wit da Hoodie),spotify:track:70C5mlnBodNJqRYpQi7O9x,,,,,,
Wiz Khalifa,Blacc Hollywood,We Dem Boyz,spotify:track:1ULa3GfdMKs0MfRpm6xVlu,,,,,,
Rico Pressley,Betty Boop,Betty Boop,spotify:track:56J4AbrCPHeRPipuen7lmH,,,,,,
Drake,Certified Lover Boy,IMY2 (with Kid Cudi),spotify:track:7F9cT6hIRhnFCYP6GKS0tf,,,,,,
NAV,NAV,Sleep,spotify:track:3hcAHrLQ2FsYhf8Y5Qywlp,,,,,,
D. Savage,D Phoenix,No Smoke,spotify:track:5iGBXzOoRo4sBTy8wdzMyK,,,,,,
Lil Baby,Street Gossip,This Week,spotify:track:3yIZgYN7AKO3cDueyhpuCS,,,,,,
Rod Wave,PTSD,Heart On Ice,spotify:track:6fWa5CRgy0z30OeGZyMBvD,,,,,,
Meek Mill,Dreams Worth More Than Money,R.I.C.O. (feat. Drake),spotify:track:0Y0TOsE1q11qgbi7c5WZsG,,,,,,
Young Thug,So Much Fun,Surf (feat. Gunna),spotify:track:6igOR5QCn09zAVF2ikZjsV,,,,,,
Young Thug,So Much Fun,What's the Move (feat. Lil Uzi Vert),spotify:track:3pTScODwk9tggZzmuH6xDY,,,,,,
Future,Pluto x Baby Pluto,Marni On Me,spotify:track:6NaVCCFGylOLZAgk5eTTid,,,,,,
The Weeknd,After Hours,Alone Again,spotify:track:6b5P51m8xx2XA6U7sdNZ5E,,,,,,
Kodak Black,Dying to Live,Calling My Spirit,spotify:track:2MShy1GSSgbmGUxADNIao5,,,,,,
Kendrick Lamar,"good kid, m.A.A.d city",m.A.A.d city,spotify:track:439TlnnznSiBbQbgXiBqAd,,,,,,
Lil Baby,Street Gossip,Anyway (feat. 2 Chainz & Gucci Mane),spotify:track:3zxiTHxE4MxwuYf8aLQ9ax,,,,,,
DaBaby,Masterpiece,Masterpiece,spotify:track:26UxwWl9xCb83OynXELJcL,,,,,,
Gunna,WUNNA,DOLLAZ ON MY HEAD (feat. Young Thug),spotify:track:3nS9a01VvXHQriLqJYwRqG,,,,,,
J.I.S.A.N,Vitamins,Vitamins,spotify:track:6qlnfrf3IrPQz4H6KIwtgS,,,,,,
Nas,NASIR,Not For Radio,spotify:track:5FYu8uBB6E11mepU601601,,,,,,
XanMan,Xan Servin 2,Point,spotify:track:2w5Qf18KUY1epCmwLa8lui,,,,,,
POORSTACY,I Can't Sleep,I Can't Sleep,spotify:track:5GWAraPLRsJ5EFMzqo0C3g,,,,,,
Pop Smoke,War,War,spotify:track:0JhonNQL2ixH1JcsgEj4Hn,,,,,,
A$AP Rocky,AT.LONG.LAST.A$AP,L$D,spotify:track:4S7YHmlWwfwArgd8LfSPud,,,,,,
SAINt JHN,Ghetto Lenny's Love Songs,Monica Lewinsky (feat. A Boogie wit da Hoodie),spotify:track:1rS0eq80peCPCgfT2t0Kmm,,,,,,
Tee Grizzley,Second Day Out,Second Day Out,spotify:track:0uYEV0YkqPC80LvpRrPqiN,,,,,,
Drake,I'm Upset,I'm Upset,spotify:track:54oMZ3blwWwuPN4wEoG5mk,,,,,,
Frank Ocean,In My Room,In My Room,spotify:track:4S4Mfvv03M1cHgIOJcbUCL,,,,,,
Meek Mill,Sharing Locations (feat. Lil Baby & Lil Durk),Sharing Locations (feat. Lil Baby & Lil Durk),spotify:track:3J4VKkUpLvomXJbn9ZAypO,,,,,,
Drake,Views,Controlla,spotify:track:4CpKEkdGbOJV51cSvx7SoG,,,,,,
Post Malone,beerbongs & bentleys,Ball For Me (feat. Nicki Minaj),spotify:track:6IaieqiCVvsNvEt6Y7yOFa,,,,,,
Aminé,Caroline,Caroline,spotify:track:5GFDrUTLGJix84sNhjCG0g,,,,,,
Kendrick Lamar,DAMN.,ELEMENT.,spotify:track:1EaKU4dMbesXXd3BrLCtYG,,,,,,
Kuzu Mellow,Sunflower Feelings,Sunflower Feelings,spotify:track:5bCM68q8X5OS9sajTWaifU,,,,,,
Lil Tjay,True 2 Myself,One Take,spotify:track:4uu7gKd1PffC7QEMcMk0Ro,,,,,,
The Kid LAROI,F*CK LOVE (SAVAGE),TRAGIC (feat. Youngboy Never Broke Again & Internet Money),spotify:track:13EW51DKru044OJDJ9Bm8o,,,,,,
Dominic Fike,Phone Numbers,Phone Numbers,spotify:track:3f9Mzvd3URfbbIJBX4pz9Z,,,,,,
A$AP Ferg,Still Striving,Plain Jane,spotify:track:4dVpf9jZjcORqGTLUaeYj9,,,,,,
Bazzi,I.F.L.Y.,I.F.L.Y.,spotify:track:4R9ATNRRl1uth17i5qDCc0,,,,,,
Kendrick Lamar,DAMN.,LOVE. FEAT. ZACARI.,spotify:track:6PGoSes0D9eUDeeAafB2As,,,,,,
iann dior,what is real,what is real,spotify:track:61StVXD7XDEeVBBdnvmFfM,,,,,,
DJ Khaled,KHALED KHALED,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),spotify:track:1EJIcDYXwSqipW5dFe4uJz,,,,,,
Wifisfuneral,Boy Who Cried Wolf,Wya? (feat. Ugly God) - Remix,spotify:track:6zQ0IcachvPDp04oWI7w8B,,,,,,
"Tyler, The Creator",CALL ME IF YOU GET LOST,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),spotify:track:5B0kgjHULYJhAQkK5XsMoC,,,,,,
Oliver Tree,Alien Boy EP,Alien Boy,spotify:track:1gGhqfs2pDTOI30AEXMXrn,,,,,,
Kanye West,Graduation,I Wonder,spotify:track:7rbECVPkY5UODxoOUVKZnA,,,,,,
Polo G,THE GOAT,Martin & Gina,spotify:track:1VLtjHwRWOVJiE5Py7JxoQ,,,,,,
The Weeknd,After Hours,Scared To Live,spotify:track:4BGZF4oLbTL0pWm7C18pbv,,,,,,
Drake,More Life,Free Smoke,spotify:track:05KOgYg8PGeJyyWBPi5ja8,,,,,,
Lil Skies,Shelby,Nowadays Pt. 2 (feat. Landon Cube),spotify:track:0Goo25lbtpwor5vb0K2r21,,,,,,
Daniel Caesar,Freudian,Best Part (feat. H.E.R.),spotify:track:1RMJOxR6GRPsBHL8qeC2ux,,,,,,
Drake,More Life,Passionfruit,spotify:track:5mCPDVBb16L4XQwDdbRUpz,,,,,,
YNW Melly,We All Shine,Mixed Personalities (feat. Kanye West),spotify:track:6vWEAOUSxohKxhp0K1BsxL,,,,,,
Roddy Ricch,Please Excuse Me for Being Antisocial,Boom Boom Room,spotify:track:3aBL75wBGHJnskegE9jyhb,,,,,,
Lil Baby,The Voice of the Heroes,Still Runnin (feat. Meek Mill),spotify:track:5cAN3P7jWVf78gev1eF7TJ,,,,,,
Lil Durk,3 Headed Goat (feat. Lil Baby & Polo G),3 Headed Goat (feat. Lil Baby & Polo G),spotify:track:677KTHp39ZBJ9csDdgymI9,,,,,,
D. Savage,I Know,I Know,spotify:track:4lay3Vtg4Y2m1ftaNNC72r,,,,,,
MadeinTYO,Uber Everywhere,Uber Everywhere,spotify:track:7zBPzAjKAqQpcv8F8GCq5s,,,,,,
Lil Shock,Rockstar,Rockstar,spotify:track:6HeVhuRO3jzmEJ0ma0YE4H,,,,,,
Gunna,Drip or Drown 2,Derek Fisher (feat. Lil Baby),spotify:track:0mOp9tWdCRHfYwwVaO8ezw,,,,,,
khai dreams,Through and Through,Through and Through,spotify:track:5lH3H5LMsBnWfec33fui3w,,,,,,
fats'e,"scraped my knee, pt. 2","scraped my knee, pt. 2",spotify:track:4NmgLdLTLkZKdDZ2hXVPHJ,,,,,,
Dominic Fike,"Don't Forget About Me, Demos",Babydoll,spotify:track:1SocftHhtuqF7k83eUhHiz,,,,,,
Lil Baby,My Turn,Low Down,spotify:track:00qca3mz2Xqf8NkrLEQPv5,,,,,,
Daniel Caesar,Freudian,Get You (feat. Kali Uchis),spotify:track:7zFXmv6vqI4qOt4yGf3jYZ,,,,,,
Lil Skies,Red Roses (feat. Landon Cube),Red Roses (feat. Landon Cube),spotify:track:5IKOXYnhzrLxqhlI0btiaa,,,,,,
Lil Tecca,Bossanova,Bossanova,spotify:track:12MGFZIqiXncwMsufAwfC9,,,,,,
21 Savage,i am > i was,4L,spotify:track:41EKwqBy5rPsjxIWXAkobc,,,,,,
Rich The Kid,That's Tuff,That's Tuff (feat. Quavo),spotify:track:3JERoo6pokCgQ81z79Jpmo,,,,,,
Drake,If You're Reading This It's Too Late,6 Man,spotify:track:4kdfjhj9xNkYU0R8xlDy8k,,,,,,
YoungBoy Never Broke Again,AI YoungBoy 2,Make No Sense,spotify:track:6klLvorLoo1sxvZcjJIY8I,,,,,,
Kendrick Lamar,DAMN.,LOYALTY. FEAT. RIHANNA.,spotify:track:6SwRhMLwNqEi6alNPVG00n,,,,,,
PnB Rock,TrapStar Turnt PopStar,MIDDLE CHILD,spotify:track:4AEzAEnbm9uRgbmTdeI63K,,,,,,
Kanye West,Yeezus,Black Skinhead,spotify:track:722tgOgdIbNe3BEyLnejw4,,,,,,
Migos,Culture II,Emoji A Chain,spotify:track:0G9rmRmQDFk9O2tzZLyRkc,,,,,,
21 Savage,i am > i was,asmr,spotify:track:4FQaMaxFgIMX1Wg5wYKMRi,,,,,,
Lil Baby,Street Gossip,Pure Cocaine,spotify:track:577YBGuskWkVDCxZrLRB4v,,,,,,
Migos,Culture,Slippery (feat. Gucci Mane),spotify:track:6p8NuHm8uCGnn2Dtbtf7zE,,,,,,
Young Stoner Life,Slime Language 2,Ski,spotify:track:6755DFiZ7CWe2WMdTGW5C1,,,,,,
Gunna,Drip or Drown 2,Same Yung Nigga (feat. Playboi Carti),spotify:track:1q9jq5X5vwmewjOa2mHtQ1,,,,,,
Pop Smoke,Shoot For The Stars Aim For The Moon,Hello (feat. A Boogie Wit da Hoodie),spotify:track:2r6OAV3WsYtXuXjvJ1lIDi,,,,,,
Bryson Tiller,T R A P S O U L (Deluxe),Rambo (Last Blood) (feat. The Weeknd),spotify:track:62itulOgU4flQFuI7f7JF8,,,,,,
sadeyes,not alone,not alone,spotify:track:1M8BLOyxil7eeYmXGepK6Q,,,,,,
Lil Durk,Stay Down (with 6LACK & Young Thug),Stay Down (with 6LACK & Young Thug),spotify:track:6w4PV16oMh5I6ZOCvig0hK,,,,,,
Lil Yachty,Lil Boat 3.5,Just How I'm Feelin' (feat. Lil Baby),spotify:track:1aOyM41ZZTnCr9TvEc8GHj,,,,,,
Smokepurpp,Phone (feat. NAV),Phone (feat. NAV),spotify:track:51AOTIXQiVZ2SiDhHXCqxp,,,,,,
Quavo,W O R K I N M E,WORKIN ME,spotify:track:33tNYw9oMtSkGe27NpgS64,,,,,,
Juice WRLD,Legends Never Die,Wishing Well,spotify:track:6o3QUC5oAE4g6WxRIFcZtb,,,,,,
Travis Scott,ASTROWORLD,CAROUSEL,spotify:track:7KZ5MMVgBVox9ycroB2UrI,,,,,,
Mac Miller,Nikes on My Feet,Nikes on My Feet,spotify:track:4Hq1q82uvzNxUYmgBOxPco,,,,,,
J. Cole,2014 Forest Hills Drive,Love Yourz,spotify:track:4gkl7QbQvBd3TM9PhlWFkI,,,,,,
Jaden,ERYS,K,spotify:track:1cXa22Jmxjt6SI2oZ1NRM1,,,,,,
XXXTENTACION,BAD!,BAD!,spotify:track:4CH66Rxcjcj3VBHwmIBj4T,,,,,,
Lil Mosey,Northsbest,Kamikaze,spotify:track:1iPBD72u3nAyFEeardYuBV,,,,,,
Shrimp,Laying in the Dirt,Laying in the Dirt,spotify:track:2gKgIBiXAcnCp7kuX9YJkb,,,,,,
Wiz Khalifa,King of Everything,King of Everything,spotify:track:1rZah1UGXvgiQCqLVlq4hS,,,,,,
Lil Uzi Vert,The Perfect LUV Tape,Seven Million (feat. Future),spotify:track:6j0teRL3WdExzqmy334sh5,,,,,,
Machine Gun Kelly,"Bullets With Names (feat. Young Thug, RJMrLA & Lil Duke)","Bullets With Names (feat. Young Thug, RJMrLA & Lil Duke)",spotify:track:7wUI9IJZFCeFfh33Li4MYv,,,,,,
Flipp Dinero,How I Move (feat. Lil Baby),How I Move (feat. Lil Baby),spotify:track:0jBJIQuToUUOEx7JJkiPzm,,,,,,
Bryson Tiller,T R A P S O U L,Don't,spotify:track:3pXF1nA74528Edde4of9CC,,,,,,
Travis Scott,Rodeo (Expanded Edition),90210 (feat. Kacy Hill),spotify:track:51EC3I1nQXpec4gDk0mQyP,,,,,,
DDG,Moonwalking in Calabasas Remix,Moonwalking in Calabasas Remix,spotify:track:4HMFQ406JW9C5qJwo0qnz9,,,,,,
Bryson Tiller,True to Self,Run Me Dry,spotify:track:5GG3knKdxKWrNboRijxeKF,,,,,,
Playboi Carti,Whole Lotta Red,M3tamorphosis (feat. Kid Cudi),spotify:track:7zLMYtNJcabv4h4wBnjNQI,,,,,,
Lil Tecca,Molly Girl,Molly Girl,spotify:track:66W6Zl1nwzbHJwEedRZ0pV,,,,,,
88GLAM,88GLAM2,Blue Faces,spotify:track:0gug4OpbNYLVXrFvtDWnxv,,,,,,
YG,Red Friday,I Be On,spotify:track:3mNyhvYD3aYqIAFdJ75y9q,,,,,,
Joey Bada$$,Love Is Only a Feeling,Love Is Only a Feeling,spotify:track:7umZiitjVsEjMQ6HNddpUI,,,,,,
Gucci Mane,Like 34 & 8 (feat. Pooh Shiesty),Like 34 & 8 (feat. Pooh Shiesty),spotify:track:6fCFTt5aXoeDKUBsk5pURK,,,,,,
Young Thug,JEFFERY,Future Swag,spotify:track:1ckxFDBKrcepE6pDmayXzP,,,,,,
Trippie Redd,Love Me More,Love Me More,spotify:track:5unIDg3JDmQm7S9a9YGzqW,,,,,,
DDG,Die 4 Respect,Hood Melody (feat. Youngboy Never Broke Again),spotify:track:3fUKv3kIexMFOmYsUYvbXJ,,,,,,
Juice WRLD,Legends Never Die,Conversations,spotify:track:2fZTS0VboxRpF0FdfY7E5P,,,,,,
King Von,Levon James,Took Her To The O,spotify:track:7fEoXCZTZFosUFvFQg1BmW,,,,,,
Aminé,Places + Faces,Places + Faces,spotify:track:1iTbIO32m3hmY8he7gkPiy,,,,,,
Chance the Rapper,Coloring Book,All We Got (feat. Kanye West & Chicago Children's Choir),spotify:track:3ZLyt2ndLFBh148XRYjYYZ,,,,,,
Lil Uzi Vert,That's a Rack,That's a Rack,spotify:track:4pCEIQ6wBVuaJdER5bALtO,,,,,,
Future,Pluto x Baby Pluto,I Don’t Wanna Break Up,spotify:track:7JwmlNz8ic9ATnLn7DyAKx,,,,,,
Q Da Fool,100 Round Goon,Guns n Bells,spotify:track:4OvXom1cuJT3LRXyveGEHd,,,,,,
T.I.,Jefe (feat. Meek Mill),Jefe (feat. Meek Mill),spotify:track:595Sl1FDWMXRUktv5LO2gD,,,,,,
Drake,Certified Lover Boy,Fair Trade (with Travis Scott),spotify:track:40iJIUlhi6renaREYGeIDS,,,,,,
convolk,bursting hearts & night terrors,all black fit,spotify:track:5PtL9NwvYn1vCY7kKo7rHe,,,,,,
Kodak Black,Project Baby 2: All Grown Up,Codeine Dreaming (feat. Lil Wayne),spotify:track:4DTpngLjoHj5gFxEZFeD3J,,,,,,
Future,Pluto x Baby Pluto,Million Dollar Play,spotify:track:7liO3TEHfUqLnIlN54CW1D,,,,,,
Cordae,The Lost Boy,Broke As Fuck,spotify:track:1faIb3PPSzEifCHUOJ691R,,,,,,
POORSTACY,i don't care,HELP !,spotify:track:2wj6VJfPAxb89LfLwTsCnD,,,,,,
JAY-Z,Top Five,Ni**as In Paris,spotify:track:2KpCpk6HjXXLb7nnXoXA5O,,,,,,
ScHoolboy Q,CrasH Talk,Numb Numb Juice,spotify:track:6tByydPskASjm9jTPkNQq0,,,,,,
Fetty Wap,Again,Again,spotify:track:4DHmHECcCKVLRcGNrbRi7P,,,,,,
Kid Cudi,Man On The Moon III: The Chosen,Tequila Shots,spotify:track:30KctD1WsHKTIYczXjip5a,,,,,,
Lil Mosey,Certified Hitmaker,Live This Wild,spotify:track:5fmTiyocDfiXbUZ4SpdXRm,,,,,,
A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",spotify:track:4XoP1AkbOurU9CeZ2rMEz2,,,,,,
Frank Ocean,Blonde,Pink + White,spotify:track:3xKsf9qdS1CyvXSMEid6g8,,,,,,
NexXthursday,Sway (feat. Quavo & Lil Yachty),Sway (feat. Quavo & Lil Yachty),spotify:track:4QeBlVCl2KzUEcQZiuskRd,,,,,,
Khalid,Free Spirit,Outta My Head (with John Mayer),spotify:track:09oZ9eXQ2fo6YDrPzJqAoP,,,,,,
Xavier Weeks,Team,Team,spotify:track:7EQoRKZQ1Y792aF7B6nPS6,,,,,,
Wale,MY PYT,MY PYT,spotify:track:4jK1VQQGDnNOLfyVXCxGsR,,,,,,
Post Malone,beerbongs & bentleys,Better Now,spotify:track:7dt6x5M1jzdTEt8oCbisTK,,,,,,
Lil Tecca,Out Of Love,Out Of Love (feat. Internet Money),spotify:track:7rTzrRdc5UbvLr0gwI1J3E,,,,,,
Logic,Everybody,1-800-273-8255,spotify:track:5tz69p7tJuGPeMGwNTxYuV,,,,,,
21 Savage,i am > i was,a lot,spotify:track:2t8yVaLvJ0RenpXUIAC52d,,,,,,
Polo G,Hall of Fame,Go Part 1 (with G Herbo),spotify:track:1EnWTwagv0XR5OJ51WMdzj,,,,,,
guccihighwaters,post death,im so sick of this,spotify:track:1i9ItiMY9JrFTnqkTlm0n0,,,,,,
YFN Lucci,Long Live Nut,Everyday We Lit (feat. PnB Rock),spotify:track:4PzovBqgnSHKd8opsP7IVM,,,,,,
Rod Wave,Ghetto Gospel,Dark Conversations,spotify:track:7w1yRWWeP2s0anD6luiBYs,,,,,,
Pooh Shiesty,Shiesty Season: Certified,Next Up (feat. Lil Uzi Vert & Gucci Mane),spotify:track:3t2NMPxegck4CrvCx5DF0C,,,,,,
ScHoolboy Q,CrasH Talk,Drunk (feat. 6LACK),spotify:track:06Y14QBRyzmPRqrswAfF4J,,,,,,
Frank Ocean,Chanel,Chanel,spotify:track:6Nle9hKrkL1wQpwNfEkxjh,,,,,,
LBS Kee'vin,Shining (feat. 42 Dugg),Shining (feat. 42 Dugg),spotify:track:0XHyNndHIiLADEPrUHpia8,,,,,,
Juice WRLD,Goodbye & Good Riddance,Hurt Me,spotify:track:3XRQT7EoS4U87rUuJwg5P3,,,,,,
Camila Cabello,OMG (feat. Quavo),OMG (feat. Quavo),spotify:track:4xBjsLUSjcx2h7PcRikpQp,,,,,,
Gucci Mane,Everybody Looking,Gucci Please,spotify:track:13TMJmTuXzvZCcHb9LrEma,,,,,,
"Tyler, The Creator",IGOR,NEW MAGIC WAND,spotify:track:0fv2KH6hac06J86hBUTcSf,,,,,,
Quality Control,On Me,On Me,spotify:track:576JCUaqor63kCrYkP5Z5e,,,,,,
J. Cole,2014 Forest Hills Drive,No Role Modelz,spotify:track:62vpWI1CHwFy7tMIcSStl8,,,,,,
Post Malone,Candy Paint,Candy Paint,spotify:track:42CeaId2XNlxugDvyqHfDf,,,,,,
Travis Scott,FRANCHISE (feat. Young Thug & M.I.A.),FRANCHISE (feat. Young Thug & M.I.A.),spotify:track:4jVBIpuOiMj1crqd8LoCrJ,,,,,,
